method,case_id,python_executable,python_version,implementation,platform,zstd_available,availability_reason,expected_classification,actual_classification,api_exercised,input_bytes,compressed_bytes,decompressed_bytes,roundtrip_match,frame_count,eof,needs_input,unused_data_bytes,exception_type,exception_message,sha256_input,sha256_compressed,elapsed_s,skip_reason,failure_reason,local_conclusion
one_shot_operation,zstd_single_frame_unused_data_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000003,,,
incremental_or_stream_operation,zstd_single_frame_unused_data_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
hn_context_observation,zstd_single_frame_unused_data_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,29,,,,,,,,,,a9ab4c77349ade0213c39812bc183b4c6f9a64e22b7b26d52365b3611531c04b,,0.000004,,,unused_data / eof behavior is API-specific
inspect_api,zstd_max_length_needs_input_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_max_length_needs_input_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000003,,,
incremental_or_stream_operation,zstd_max_length_needs_input_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
hn_context_observation,zstd_max_length_needs_input_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000004,,,"bounded decompression is a stream concern, not ML"
inspect_api,zstd_pledged_input_size_match_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_pledged_input_size_match_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000003,,,
incremental_or_stream_operation,zstd_pledged_input_size_match_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
